OBJECTID,ZIP5,ShapeSTArea,ShapeSTLength
1,2134,37219357.28,40794.1824
2,2125,64760516.62,62224.52144
3,2110,6637283.754,18358.2135
4,2118,31161577.07,32353.40762
5,2126,60785850.31,45488.39471
6,2109,5536731.439,22538.30584
7,2021,2361.905029,432.1947022
8,2113,2807327.853,8507.459971
9,2130,105221153,64225.02221
10,2121,48905922.24,35217.58192
11,2119,44511498.52,37680.7021
12,2115,19771296.03,34806.58402
13,2163,3271313.241,7298.781943
14,2135,78620825.92,61170.63094
15,2199,1603177.364,5140.730822
16,2459,24832.75647,9295.150639
17,2124,85658048.05,57673.00775
18,2132,129360685.5,68024.57171
19,2114,12538634.21,27934.53142
20,2108,6162153.076,18485.04013
21,2136,128128953.3,65353.75783
22,2111,7823799.346,13814.87949
23,2210,32373210.07,36215.56402
24,2116,19117646.17,23262.91227
25,2131,81688796.5,68311.54512
26,2127,67536142.74,51905.25164
27,2120,17329493.55,28148.29991
28,2203,864466.752,4052.846084
29,2215,25198308,37861.73131
30,2129,42249762.53,38078.09545
31,2128,147802204.1,82747.69032
32,2122,61086361.34,74811.18401
33,2151,8707547.791,24981.9048
34,2186,99.52197266,96.86724549
35,2026,19174.03015,4025.190772
36,2152,8873432.587,15553.4416
37,2467,5696.389893,2897.480451
38,2467,181.8376465,229.3057174
39,2467,2806999.962,10562.69323
40,2467,1282571.021,7052.504726
41,2467,8825573.507,21844.88343
42,2467,4467229.037,11198.56289
43,2467,5059.771973,975.8331207
