mall name,address,city,zipcode,lat,lng
Prudential Center Boston,800 Boylston St,Boston,2199
Copley Place,100 Huntington Ave, Boston, 2116
Faneuil Hall Marketplace,4 S Market St, Boston,2109
South Bay Center,8 Allstate Rd,Boston,2118
Washington Park Mall,330 M.L.K.Jr Blvd,Boston,2119
Longwood Galleria,400 Brookline Ave,Boston,2215
Fresh Pond Mall,140 Clarendon St,Boston,2116
Memorial Convention Center,900 Boylston St,Boston,2199
Stores At 500 Washington,500 Washington St,Boston,2111
Downtown Crossing,24 Winter PI,Boston,2108
The Corner Mall,417 Washington St,Boston,2129
Mercantile Mall,1 Cross St,Boston,2109
Primax Store,5 Blossom St,Boston,2114
Cambridge Side,100 Cambridgeside PI,Cambridge,2141
The Atrium,50 Church St,Cambridge,2138
Porter Square Shopping Center,37 White St,Cambridge,2140
